groupID,dateTime,location,state,meetingTopic
20,7/18/2022 22:26,097 Raven Pass,Georgia,New member meeting
21,1/30/2021 7:37,0594 Prentice Alley,Minnesota,How to identify by wingspan
2,1/5/2021 23:31,0 Roth Center,Texas,How to identify by color
23,1/25/2022 14:36,5 Clyde Gallagher Plaza,Alabama,New member meeting
5,7/20/2022 21:03,6 Warner Parkway,Pennsylvania,Annual Birder Convention
15,1/10/2022 8:38,68731 Roxbury Drive,Texas,How to navigate your account
1,9/24/2022 5:01,588 Spohn Parkway,Florida,Types of genera
22,12/25/2021 2:13,26590 Linden Place,Colorado,How to identify by wingspan
7,1/20/2022 19:03,5 Hazelcrest Pass,New York,How to identify by color
18,3/7/2021 2:33,614 Eagan Plaza,Ohio,How to identify by feet
6,2/6/2022 16:31,96954 Lyons Point,Arizona,Annual Birder Convention
10,6/8/2021 14:37,78 Fairfield Junction,Illinois,How to navigate your account
4,6/28/2022 17:15,5100 Grayhawk Pass,New Jersey,New member meeting
23,5/19/2022 18:51,2678 Hazelcrest Alley,Alabama,Types of environments
17,10/15/2021 16:06,08 Pearson Terrace,Ohio,Annual Birder Convention
19,10/20/2022 15:51,21 Donald Road,Florida,New member meeting
12,5/21/2022 8:27,383 Brown Court,Michigan,Types of environments
15,10/17/2022 21:43,9 Butterfield Way,Kansas,How to identify by color
23,9/21/2021 9:46,8 Badeau Pass,Illinois,Annual Birder Convention
5,7/1/2022 16:36,1647 Milwaukee Junction,Minnesota,Upcoming Trips
18,5/2/2021 1:26,1979 Bunker Hill Avenue,Pennsylvania,How to identify by beak
17,2/8/2021 7:37,46103 Delaware Lane,California,Types of species
3,5/4/2021 13:20,49230 Vahlen Circle,Texas,Types of genera
20,11/4/2022 16:52,2 Dwight Trail,Delaware,Birder Discussion Panel
18,12/4/2021 1:16,055 Blaine Pass,Arizona,Annual Birder Convention
15,8/18/2022 3:35,64 Gina Drive,Nevada,How to identify by beak
14,1/14/2022 21:18,87319 Crest Line Trail,Illinois,Types of environments
10,9/2/2021 13:17,576 Amoth Plaza,California,Opinion on bird hunting
13,7/1/2022 12:00,47 Morningstar Pass,Massachusetts,How to identify by sizing
6,5/20/2021 15:23,484 Schmedeman Crossing,Indiana,Types of environments
14,11/25/2021 22:48,466 Rigney Terrace,Michigan,How to identify by wingspan
14,7/5/2021 6:07,0633 Cherokee Park,New Jersey,How to identify by beak
16,6/28/2022 3:03,2 Heffernan Avenue,Illinois,Opinion on bird hunting
8,1/24/2021 11:06,2825 Killdeer Road,Virginia,Annual Birder Convention
14,10/20/2022 17:30,357 La Follette Court,Kentucky,How to identify by wingspan
15,1/5/2022 21:55,9 Oak Pass,Tennessee,How to identify by beak
20,11/24/2022 7:17,2 Hansons Crossing,Arizona,Types of genera
1,3/6/2021 2:37,01 8th Pass,Delaware,How to identify by wingspan
15,8/20/2022 0:14,83 Hanson Park,New York,How to identify by sizing
11,6/16/2022 9:24,17 Larry Circle,Georgia,How to identify by beak
12,1/4/2022 16:25,03998 Declaration Road,Ohio,General Meeting
9,4/18/2022 22:36,4 Straubel Park,District of Columbia,Annual Birder Convention
18,12/3/2021 3:24,622 Dixon Pass,Maryland,How to identify by sizing
18,10/18/2022 13:08,119 Hooker Circle,Kentucky,General Meeting
1,9/23/2022 1:39,5 Transport Drive,New York,Types of species
8,2/16/2022 0:58,10 Almo Hill,Kansas,New member meeting
6,5/13/2022 15:08,0795 Cascade Junction,Tennessee,New member meeting
3,10/27/2021 5:55,47450 Service Alley,Louisiana,How to identify by beak
14,10/3/2022 6:56,800 Sugar Lane,Kentucky,How to identify by sizing
23,8/25/2021 10:22,3819 Morningstar Circle,Texas,How to identify by feet
23,8/15/2021 8:52,77 5th Way,Colorado,How to identify by color
23,3/4/2021 9:56,6 Oak Valley Parkway,Texas,How to navigate your account
10,5/19/2022 11:11,458 Boyd Hill,Kansas,How to identify by sizing
15,3/10/2022 3:03,099 Main Park,Texas,New member meeting
10,10/1/2021 23:22,7 Debra Court,Pennsylvania,Opinion on bird hunting
23,3/25/2022 0:47,68998 Gina Court,New York,Types of genera
7,10/25/2022 20:10,0362 Novick Drive,California,How to identify by beak
5,8/22/2021 10:54,334 Lukken Way,Texas,General Meeting
6,4/5/2021 5:28,7913 Graceland Center,North Carolina,How to navigate your account
23,6/19/2022 17:17,8 Randy Alley,California,How to identify by beak
7,9/19/2022 17:54,72 Corben Way,Florida,How to identify by beak
5,5/12/2021 22:10,984 6th Lane,Oregon,Types of environments
12,11/13/2021 22:59,68 Tennyson Drive,Connecticut,Opinion on bird hunting
22,1/10/2022 19:21,4 Manufacturers Crossing,Ohio,General Meeting
9,6/1/2022 3:32,53789 Corry Hill,New York,How to navigate your account
10,3/18/2022 21:02,006 Fairview Plaza,Maryland,Types of genera
20,2/19/2021 3:36,091 Talmadge Place,Minnesota,How to identify by wingspan
11,10/16/2022 3:32,4918 Raven Way,California,Types of genera
14,8/6/2021 22:46,75221 Brickson Park Terrace,Ohio,How to identify by feet
7,4/14/2022 17:59,3989 Bayside Lane,California,Upcoming Trips
23,1/26/2022 18:25,8 Shasta Street,Delaware,Types of species
20,1/25/2022 5:59,4 Doe Crossing Circle,Texas,How to identify by beak
12,12/5/2021 17:30,40 Briar Crest Alley,West Virginia,Types of species
22,12/4/2022 15:00,01132 Anniversary Hill,Georgia,Birder Discussion Panel
16,3/25/2022 18:05,33 Hovde Circle,Oregon,Annual Birder Convention
15,7/17/2022 14:41,458 School Park,New York,Types of genera
7,6/29/2022 14:26,495 Atwood Terrace,Nevada,Types of genera
20,2/25/2021 14:46,80 Roth Park,Michigan,Types of genera
6,12/24/2021 8:10,6 Sullivan Plaza,Utah,New member meeting
13,3/4/2021 6:24,91 Grover Avenue,California,How to identify by feet
19,7/10/2022 7:45,897 Monterey Drive,Texas,Opinion on bird hunting
23,12/12/2022 14:40,70568 Welch Road,New York,Annual Birder Convention
4,7/31/2022 21:42,99990 Melody Plaza,Colorado,Types of environments
6,8/1/2022 3:23,603 Charing Cross Park,Tennessee,How to identify by wingspan
1,6/28/2021 8:46,77 Algoma Trail,Texas,Types of species
6,8/31/2022 5:07,60869 Kensington Lane,California,Birder Discussion Panel
22,4/24/2022 16:07,478 Transport Alley,Michigan,How to identify by beak
21,8/19/2021 1:06,0 7th Plaza,New York,How to identify by wingspan
7,7/17/2022 4:00,3 Nobel Parkway,Nevada,New member meeting
18,12/30/2021 9:34,568 Randy Hill,Nevada,Opinion on bird hunting
4,6/29/2021 22:55,6676 Oxford Point,California,Types of genera
25,8/2/2022 16:27,616 Carpenter Alley,California,Annual Birder Convention
25,12/24/2021 18:08,0405 Prentice Center,Texas,Upcoming Trips
19,10/21/2022 7:23,39 Redwing Street,Texas,How to identify by beak
10,10/13/2021 3:33,74844 Hazelcrest Parkway,Alabama,How to identify by wingspan
20,9/30/2021 2:53,37 Westridge Place,Louisiana,Opinion on bird hunting
7,1/31/2022 10:44,2410 Mockingbird Place,Minnesota,Types of species
16,9/8/2021 22:57,7 Canary Trail,Oklahoma,Types of species
21,8/17/2022 17:18,011 Di Loreto Point,California,How to identify by wingspan
4,5/16/2021 7:49,4492 Lighthouse Bay Avenue,Ohio,Annual Birder Convention
15,8/5/2021 20:41,778 Lukken Plaza,California,How to identify by color
16,4/4/2021 5:13,2 Fieldstone Park,New York,How to navigate your account
1,4/10/2021 22:21,06623 Gale Plaza,Texas,How to identify by beak
1,4/20/2021 4:15,7 Schiller Trail,California,How to identify by feet
14,2/9/2021 12:20,201 Kipling Avenue,District of Columbia,General Meeting
25,4/8/2021 1:58,0 Swallow Way,Texas,Types of environments
6,12/11/2021 4:39,2 Ramsey Lane,Pennsylvania,How to identify by beak
24,8/24/2022 2:06,08835 Kropf Plaza,Connecticut,How to identify by wingspan
17,9/20/2022 1:23,824 Huxley Plaza,Mississippi,How to navigate your account
11,2/22/2021 22:30,28479 Northland Drive,Ohio,Annual Birder Convention
19,4/12/2022 4:45,16 Shoshone Street,California,How to identify by beak
9,6/17/2022 23:55,66 Myrtle Pass,Tennessee,How to identify by wingspan
9,9/24/2021 4:10,26618 Katie Way,Georgia,How to identify by color
2,11/30/2021 9:57,92986 Ridge Oak Trail,Ohio,How to identify by color
1,7/3/2022 23:55,6 Vermont Lane,California,New member meeting
23,7/31/2022 1:16,1773 Schmedeman Junction,California,How to identify by beak
10,12/11/2021 13:18,704 Lukken Pass,Louisiana,Types of species
8,10/9/2022 21:36,8699 Arapahoe Crossing,Idaho,How to identify by color
6,3/30/2022 15:38,99211 Truax Terrace,Massachusetts,Birder Discussion Panel
16,6/1/2021 20:18,5372 Crest Line Drive,Texas,Opinion on bird hunting
2,1/8/2022 10:53,06 Rusk Lane,New York,Types of species
9,11/19/2022 16:59,22 Mayer Alley,Indiana,How to identify by beak
8,11/18/2022 2:14,304 Messerschmidt Parkway,Connecticut,New member meeting
13,3/18/2021 14:15,33462 Anderson Terrace,District of Columbia,How to identify by color
25,2/21/2022 0:05,455 Summit Place,Massachusetts,How to identify by sizing
22,7/13/2021 9:17,8 Glendale Place,Ohio,Opinion on bird hunting
18,1/22/2022 1:15,986 Dwight Crossing,Florida,Annual Birder Convention
10,7/26/2021 11:15,0719 Stone Corner Avenue,California,How to identify by wingspan
11,12/10/2022 16:36,6548 Eastwood Road,Texas,How to identify by color
12,8/16/2021 2:42,5864 Sullivan Circle,Ohio,Annual Birder Convention
10,2/14/2022 7:00,3207 Northland Junction,California,How to identify by beak
7,3/18/2021 8:59,25 Doe Crossing Park,Kansas,Types of species
17,7/3/2022 10:28,97055 Lukken Place,Ohio,Upcoming Trips
19,12/30/2021 8:21,0 Hoard Center,Virginia,How to identify by color
21,9/16/2022 8:11,60 Erie Crossing,New York,Types of species
4,5/23/2021 10:03,566 Arrowood Pass,Pennsylvania,How to identify by sizing
17,8/1/2021 16:01,642 Everett Terrace,Massachusetts,Opinion on bird hunting
15,6/1/2022 9:27,20 Thierer Center,Nevada,How to identify by beak
22,8/28/2021 8:50,5 Blue Bill Park Lane,California,How to identify by wingspan
25,5/23/2021 22:03,815 Derek Pass,California,Upcoming Trips
12,4/20/2021 8:12,49 Farwell Court,New York,How to identify by beak
2,11/8/2022 10:54,21 Chinook Lane,Texas,New member meeting
17,4/23/2021 2:02,8990 Farwell Junction,Oklahoma,Types of genera
22,5/26/2022 16:31,1 Elka Court,Ohio,Types of species
19,8/6/2021 23:40,4533 Leroy Hill,Iowa,How to navigate your account
16,8/9/2021 5:52,8 Sloan Center,New York,Annual Birder Convention
10,6/12/2021 17:21,77246 Sutherland Pass,Texas,Birder Discussion Panel
8,3/4/2022 18:06,146 Vermont Street,District of Columbia,How to identify by sizing
4,10/10/2022 15:05,66 Quincy Pass,California,How to identify by color
25,9/23/2021 5:46,21456 Mcbride Way,California,Types of environments
23,1/21/2021 9:38,4 Maple Alley,Illinois,How to identify by color
23,6/16/2021 14:29,0092 Mandrake Point,South Carolina,Opinion on bird hunting
16,10/25/2022 19:52,2875 Oxford Junction,Alabama,How to identify by beak
10,1/18/2021 1:54,1709 Anhalt Way,West Virginia,How to identify by wingspan
10,9/14/2021 11:18,5588 Lake View Junction,New York,How to identify by sizing
8,8/12/2022 2:28,2280 Goodland Place,Colorado,How to identify by color
23,2/9/2021 9:07,59582 Thompson Park,Texas,How to identify by beak
23,7/31/2021 2:16,01608 Eagle Crest Terrace,Michigan,Types of species
20,3/27/2021 2:34,02 Farmco Court,California,How to identify by feet
4,11/1/2021 10:50,3 Donald Circle,Illinois,Upcoming Trips
16,7/10/2021 13:02,695 Summit Pass,Florida,Upcoming Trips
23,7/10/2022 14:59,4 Coolidge Street,Pennsylvania,How to identify by color
17,10/2/2022 11:23,7 Tennessee Crossing,Minnesota,Upcoming Trips
8,11/23/2021 19:06,3278 Katie Street,Georgia,General Meeting
8,12/5/2021 7:03,75 Merchant Drive,Texas,How to identify by feet
11,8/10/2022 11:56,1 Blackbird Street,California,Types of environments
17,7/6/2021 14:33,058 Cascade Hill,Kentucky,How to identify by feet
14,1/22/2022 5:19,5 Shasta Alley,Kentucky,General Meeting
20,4/21/2021 12:36,5 Vahlen Place,New York,How to identify by feet
1,8/11/2022 12:25,02 Nobel Street,Wisconsin,Upcoming Trips
8,5/24/2022 9:12,7858 Mallard Pass,Texas,How to identify by color
21,9/5/2022 19:39,41111 Golf Point,Pennsylvania,Opinion on bird hunting
7,9/3/2022 1:34,51 Northport Hill,South Carolina,Types of genera
25,2/23/2021 18:32,2 Rieder Drive,Oregon,How to identify by wingspan
